Character(decimal),Name,Braille
𒀿,ASHGAB,⠁⠩⠛⠁⠃
𒁀,BA,⠃⠁
𒁁,BAD,⠃⠁⠙
𒁂,BAG3,⠃⠁⠛⠒
𒁃,BAHAR2,⠃⠁⠓⠜
𒁄,BAL,⠃⠁⠇
𒁅,BAL OVER BAL,⠃⠁⠇⠌⠃⠁⠇
𒁆,BALAG,⠃⠁⠇⠁⠛
𒁇,BAR,⠃⠜
𒁈,BARA2,⠃⠜⠁
𒁉,BI,⠃⠊
𒁊,BI TIMES A,⠃⠊⠡⠁
𒁋,BI TIMES GAR,⠃⠊⠡⠛⠜
𒁌,BI TIMES IGI GUNU,⠃⠊⠡⠊⠛⠊ ⠛⠥⠝⠥
𒁍,BU,⠃⠥
𒁎,BU OVER BU AB,⠃⠥⠌⠃⠥ ⠁⠃
𒁏,BU OVER BU UN,⠃⠥⠌⠃⠥ ⠥⠝
𒁐,BU CROSSING BU,⠃⠥⠯⠃⠥
𒁑,BULUG,⠃⠥⠇⠥⠛
𒁒,BULUG OVER BULUG,⠃⠥⠇⠥⠛⠌⠃⠥⠇⠥⠛
𒁓,BUR,⠃⠥⠗
𒁔,BUR2,⠃⠥⠗
𒁕,DA,⠙⠁
𒁖,DAG,⠙⠁⠛
𒁗,DAG KISIM5 TIMES A PLUS MASH,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠁⠬⠍⠁⠩
𒁘,DAG KISIM5 TIMES AMAR,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠁⠍⠜
𒁙,DAG KISIM5 TIMES BALAG,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠃⠁⠇⠁⠛
𒁚,DAG KISIM5 TIMES BI,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠃⠊
𒁛,DAG KISIM5 TIMES GA,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠛⠁
𒁜,DAG KISIM5 TIMES GA PLUS MASH,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠛⠁⠬⠍⠁⠩
𒁝,DAG KISIM5 TIMES GI,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠛⠊
𒁞,DAG KISIM5 TIMES GIR2,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠛⠊⠗
𒁟,DAG KISIM5 TIMES GUD,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠛⠥⠙
𒁠,DAG KISIM5 TIMES HA,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠓⠁
𒁡,DAG KISIM5 TIMES IR,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠊⠗
𒁢,DAG KISIM5 TIMES IR PLUS LU,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠊⠗⠬⠇⠥
𒁣,DAG KISIM5 TIMES KAK,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠅⠁⠅
𒁤,DAG KISIM5 TIMES LA,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠇⠁
𒁥,DAG KISIM5 TIMES LU,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠇⠥
𒁦,DAG KISIM5 TIMES LU PLUS MASH2,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠇⠥⠬⠍⠁⠩
𒁧,DAG KISIM5 TIMES LUM,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠇⠥⠍
𒁨,DAG KISIM5 TIMES NE,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠝⠑
𒁩,DAG KISIM5 TIMES PAP PLUS PAP,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠏⠁⠏⠬⠏⠁⠏
𒁪,DAG KISIM5 TIMES SI,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠎⠊
𒁫,DAG KISIM5 TIMES TAK4,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠞⠁⠅⠲
𒁬,DAG KISIM5 TIMES U2 PLUS GIR2,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠥⠬⠛⠊⠗
𒁭,DAG KISIM5 TIMES USH,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠥⠩
𒁮,DAM,⠙⠁⠍
𒁯,DAR,⠙⠜
𒁰,DARA3,⠙⠜⠁⠒
𒁱,DARA4,⠙⠜⠁⠲
𒁲,DI,⠙⠊
𒁳,DIB,⠙⠊⠃
𒁴,DIM,⠙⠊⠍
𒁵,DIM TIMES SHE,⠙⠊⠍⠡⠩⠑
𒁶,DIM2,⠙⠊⠍
𒁷,DIN,⠙⠊⠝
𒁸,DIN KASKAL U GUNU DISH,⠙⠊⠝ ⠅⠁⠎⠅⠁⠇ ⠥ ⠛⠥⠝⠥ ⠙⠊⠩
𒁹,DISH,⠙⠊⠩
𒁺,DU,⠙⠥
𒁻,DU OVER DU,⠙⠥⠌⠙⠥
𒁼,DU GUNU,⠙⠥ ⠛⠥⠝⠥
𒁽,DU SHESHIG,⠙⠥ ⠩⠑⠩⠊⠛
𒁾,DUB,⠙⠥⠃
𒁿,DUB TIMES ESH2,⠙⠥⠃⠡⠑⠩
𒂀,DUB2,⠙⠥⠃
𒂁,DUG,⠙⠥⠛
𒂂,DUGUD,⠙⠥⠛⠥⠙
𒂃,DUH,⠙⠥⠓
𒂄,DUN,⠙⠥⠝
𒂅,DUN3,⠙⠥⠝⠒
𒂆,DUN3 GUNU,⠙⠥⠝⠒ ⠛⠥⠝⠥
𒂇,DUN3 GUNU GUNU,⠙⠥⠝⠒ ⠛⠥⠝⠥ ⠛⠥⠝⠥
𒂈,DUN4,⠙⠥⠝⠲
𒂉,DUR2,⠙⠥⠗
𒂊,E,⠑
𒂋,E TIMES PAP,⠑⠡⠏⠁⠏
𒂌,E OVER E NUN OVER NUN,⠑⠌⠑ ⠝⠥⠝⠌⠝⠥⠝
𒂍,E2,⠑
𒂎,E2 TIMES A PLUS HA PLUS DA,⠑⠡⠁⠬⠓⠁⠬⠙⠁
𒂏,E2 TIMES GAR,⠑⠡⠛⠜
𒂐,E2 TIMES MI,⠑⠡⠍⠊
𒂑,E2 TIMES SAL,⠑⠡⠎⠁⠇
𒂒,E2 TIMES SHE,⠑⠡⠩⠑
𒂓,E2 TIMES U,⠑⠡⠥
𒂔,EDIN,⠑⠙⠊⠝
𒂕,EGIR,⠑⠛⠊⠗
𒂖,EL,⠑⠇
𒂗,EN,⠑⠝
𒂘,EN TIMES GAN2,⠑⠝⠡⠛⠁⠝
𒂙,EN TIMES GAN2 TENU,⠑⠝⠡⠛⠁⠝ ⠞⠑⠝⠥
𒂚,EN TIMES ME,⠑⠝⠡⠍⠑
𒂛,EN CROSSING EN,⠑⠝⠯⠑⠝
𒂜,EN OPPOSING EN,⠑⠝⠫⠑⠝
𒂝,EN SQUARED,⠑⠝⠘⠸
𒂞,EREN,⠑⠗⠑⠝
𒂟,ERIN2,⠑⠗⠊⠝
𒂠,ESH2,⠑⠩
𒂡,EZEN,⠑⠵⠑⠝
𒂢,EZEN TIMES A,⠑⠵⠑⠝⠡⠁
𒂣,EZEN TIMES A PLUS LAL,⠑⠵⠑⠝⠡⠁⠬⠇⠁⠇
𒂤,EZEN TIMES A PLUS LAL TIMES LAL,⠑⠵⠑⠝⠡⠁⠬⠇⠁⠇⠡⠇⠁⠇
𒂥,EZEN TIMES AN,⠑⠵⠑⠝⠡⠁⠝
𒂦,EZEN TIMES BAD,⠑⠵⠑⠝⠡⠃⠁⠙
𒂧,EZEN TIMES DUN3 GUNU,⠑⠵⠑⠝⠡⠙⠥⠝⠒ ⠛⠥⠝⠥
𒂨,EZEN TIMES DUN3 GUNU GUNU,⠑⠵⠑⠝⠡⠙⠥⠝⠒ ⠛⠥⠝⠥ ⠛⠥⠝⠥
𒂩,EZEN TIMES HA,⠑⠵⠑⠝⠡⠓⠁
𒂪,EZEN TIMES HA GUNU,⠑⠵⠑⠝⠡⠓⠁ ⠛⠥⠝⠥
𒂫,EZEN TIMES IGI GUNU,⠑⠵⠑⠝⠡⠊⠛⠊ ⠛⠥⠝⠥
𒂬,EZEN TIMES KASKAL,⠑⠵⠑⠝⠡⠅⠁⠎⠅⠁⠇
𒂭,EZEN TIMES KASKAL SQUARED,⠑⠵⠑⠝⠡⠅⠁⠎⠅⠁⠇⠘⠸
𒂮,EZEN TIMES KU3,⠑⠵⠑⠝⠡⠅⠥⠒
𒂯,EZEN TIMES LA,⠑⠵⠑⠝⠡⠇⠁
𒂰,EZEN TIMES LAL TIMES LAL,⠑⠵⠑⠝⠡⠇⠁⠇⠡⠇⠁⠇
𒂱,EZEN TIMES LI,⠑⠵⠑⠝⠡⠇⠊
𒂲,EZEN TIMES LU,⠑⠵⠑⠝⠡⠇⠥
𒂳,EZEN TIMES U2,⠑⠵⠑⠝⠡⠥
𒂴,EZEN TIMES UD,⠑⠵⠑⠝⠡⠥⠙
𒂵,GA,⠛⠁
𒂶,GA GUNU,⠛⠁ ⠛⠥⠝⠥
𒂷,GA2,⠛⠁
𒂸,GA2 TIMES A PLUS DA PLUS HA,⠛⠁⠡⠁⠬⠙⠁⠬⠓⠁
𒂹,GA2 TIMES A PLUS HA,⠛⠁⠡⠁⠬⠓⠁
𒂺,GA2 TIMES A PLUS IGI,⠛⠁⠡⠁⠬⠊⠛⠊
𒂻,GA2 TIMES AB2 TENU PLUS TAB,⠛⠁⠡⠁⠃ ⠞⠑⠝⠥⠬⠞⠁⠃
𒂼,GA2 TIMES AN,⠛⠁⠡⠁⠝
𒂽,GA2 TIMES ASH,⠛⠁⠡⠁⠩
𒂾,GA2 TIMES ASH2 PLUS GAL,⠛⠁⠡⠁⠩⠬⠛⠁⠇
𒂿,GA2 TIMES BAD,⠛⠁⠡⠃⠁⠙
𒃀,GA2 TIMES BAR PLUS RA,⠛⠁⠡⠃⠜⠬⠗⠁
𒃁,GA2 TIMES BUR,⠛⠁⠡⠃⠥⠗
𒃂,GA2 TIMES BUR PLUS RA,⠛⠁⠡⠃⠥⠗⠬⠗⠁
𒃃,GA2 TIMES DA,⠛⠁⠡⠙⠁
𒃄,GA2 TIMES DI,⠛⠁⠡⠙⠊
𒃅,GA2 TIMES DIM TIMES SHE,⠛⠁⠡⠙⠊⠍⠡⠩⠑
𒃆,GA2 TIMES DUB,⠛⠁⠡⠙⠥⠃
𒃇,GA2 TIMES EL,⠛⠁⠡⠑⠇
𒃈,GA2 TIMES EL PLUS LA,⠛⠁⠡⠑⠇⠬⠇⠁
𒃉,GA2 TIMES EN,⠛⠁⠡⠑⠝
𒃊,GA2 TIMES EN TIMES GAN2 TENU,⠛⠁⠡⠑⠝⠡⠛⠁⠝ ⠞⠑⠝⠥
𒃋,GA2 TIMES GAN2 TENU,⠛⠁⠡⠛⠁⠝ ⠞⠑⠝⠥
𒃌,GA2 TIMES GAR,⠛⠁⠡⠛⠜
𒃍,GA2 TIMES GI,⠛⠁⠡⠛⠊
𒃎,GA2 TIMES GI4,⠛⠁⠡⠛⠊⠲
𒃏,GA2 TIMES GI4 PLUS A,⠛⠁⠡⠛⠊⠲⠬⠁
𒃐,GA2 TIMES GIR2 PLUS SU,⠛⠁⠡⠛⠊⠗⠬⠎⠥
𒃑,GA2 TIMES HA PLUS LU PLUS ESH2,⠛⠁⠡⠓⠁⠬⠇⠥⠬⠑⠩
𒃒,GA2 TIMES HAL,⠛⠁⠡⠓⠁⠇
𒃓,GA2 TIMES HAL PLUS LA,⠛⠁⠡⠓⠁⠇⠬⠇⠁
𒃔,GA2 TIMES HI PLUS LI,⠛⠁⠡⠓⠊⠬⠇⠊
𒃕,GA2 TIMES HUB2,⠛⠁⠡⠓⠥⠃
𒃖,GA2 TIMES IGI GUNU,⠛⠁⠡⠊⠛⠊ ⠛⠥⠝⠥
𒃗,GA2 TIMES ISH PLUS HU PLUS ASH,⠛⠁⠡⠊⠩⠬⠓⠥⠬⠁⠩
𒃘,GA2 TIMES KAK,⠛⠁⠡⠅⠁⠅
𒃙,GA2 TIMES KASKAL,⠛⠁⠡⠅⠁⠎⠅⠁⠇
𒃚,GA2 TIMES KID,⠛⠁⠡⠅⠊⠙
𒃛,GA2 TIMES KID PLUS LAL,⠛⠁⠡⠅⠊⠙⠬⠇⠁⠇
𒃜,GA2 TIMES KU3 PLUS AN,⠛⠁⠡⠅⠥⠒⠬⠁⠝
𒃝,GA2 TIMES LA,⠛⠁⠡⠇⠁
𒃞,GA2 TIMES ME PLUS EN,⠛⠁⠡⠍⠑⠬⠑⠝
𒃟,GA2 TIMES MI,⠛⠁⠡⠍⠊
𒃠,GA2 TIMES NUN,⠛⠁⠡⠝⠥⠝
𒃡,GA2 TIMES NUN OVER NUN,⠛⠁⠡⠝⠥⠝⠌⠝⠥⠝
𒃢,GA2 TIMES PA,⠛⠁⠡⠏⠁
𒃣,GA2 TIMES SAL,⠛⠁⠡⠎⠁⠇
𒃤,GA2 TIMES SAR,⠛⠁⠡⠎⠜
𒃥,GA2 TIMES SHE,⠛⠁⠡⠩⠑
𒃦,GA2 TIMES SHE PLUS TUR,⠛⠁⠡⠩⠑⠬⠞⠥⠗
𒃧,GA2 TIMES SHID,⠛⠁⠡⠩⠊⠙
𒃨,GA2 TIMES SUM,⠛⠁⠡⠎⠥⠍
𒃩,GA2 TIMES TAK4,⠛⠁⠡⠞⠁⠅⠲
𒃪,GA2 TIMES U,⠛⠁⠡⠥
𒃫,GA2 TIMES UD,⠛⠁⠡⠥⠙
𒃬,GA2 TIMES UD PLUS DU,⠛⠁⠡⠥⠙⠬⠙⠥
𒃭,GA2 OVER GA2,⠛⠁⠌⠛⠁
𒃮,GABA,⠛⠁⠃⠁
𒃯,GABA CROSSING GABA,⠛⠁⠃⠁⠯⠛⠁⠃⠁
𒃰,GAD,⠛⠁⠙
𒃱,GAD OVER GAD GAR OVER GAR,⠛⠁⠙⠌⠛⠁⠙ ⠛⠜⠌⠛⠜
𒃲,GAL,⠛⠁⠇
𒃳,GAL GAD OVER GAD GAR OVER GAR,⠛⠁⠇ ⠛⠁⠙⠌⠛⠁⠙ ⠛⠜⠌⠛⠜
𒃴,GALAM,⠛⠁⠇⠁⠍
𒃵,GAM,⠛⠁⠍
𒃶,GAN,⠛⠁⠝
𒃷,GAN2,⠛⠁⠝
𒃸,GAN2 TENU,⠛⠁⠝ ⠞⠑⠝⠥
𒃹,GAN2 OVER GAN2,⠛⠁⠝⠌⠛⠁⠝
𒃺,GAN2 CROSSING GAN2,⠛⠁⠝⠯⠛⠁⠝
𒃻,GAR,⠛⠜
𒃼,GAR3,⠛⠜⠒
𒃽,GASHAN,⠛⠁⠩⠁⠝
𒃾,GESHTIN,⠛⠑⠩⠞⠊⠝
𒃿,GESHTIN TIMES KUR,⠛⠑⠩⠞⠊⠝⠡⠅⠥⠗
𒄀,GI,⠛⠊
𒄁,GI TIMES E,⠛⠊⠡⠑
𒄂,GI TIMES U,⠛⠊⠡⠥
𒄃,GI CROSSING GI,⠛⠊⠯⠛⠊
𒄄,GI4,⠛⠊⠲
𒄅,GI4 OVER GI4,⠛⠊⠲⠌⠛⠊⠲
𒄆,GI4 CROSSING GI4,⠛⠊⠲⠯⠛⠊⠲
𒄇,GIDIM,⠛⠊⠙⠊⠍
𒄈,GIR2,⠛⠊⠗
𒄉,GIR2 GUNU,⠛⠊⠗ ⠛⠥⠝⠥
𒄊,GIR3,⠛⠊⠗⠒
𒄋,GIR3 TIMES A PLUS IGI,⠛⠊⠗⠒⠡⠁⠬⠊⠛⠊
𒄌,GIR3 TIMES GAN2 TENU,⠛⠊⠗⠒⠡⠛⠁⠝ ⠞⠑⠝⠥
𒄍,GIR3 TIMES IGI,⠛⠊⠗⠒⠡⠊⠛⠊
𒄎,GIR3 TIMES LU PLUS IGI,⠛⠊⠗⠒⠡⠇⠥⠬⠊⠛⠊
𒄏,GIR3 TIMES PA,⠛⠊⠗⠒⠡⠏⠁
𒄐,GISAL,⠛⠊⠎⠁⠇
𒄑,GISH,⠛⠊⠩
𒄒,GISH CROSSING GISH,⠛⠊⠩⠯⠛⠊⠩
𒄓,GISH TIMES BAD,⠛⠊⠩⠡⠃⠁⠙
𒄔,GISH TIMES TAK4,⠛⠊⠩⠡⠞⠁⠅⠲
𒄕,GISH TENU,⠛⠊⠩ ⠞⠑⠝⠥
𒄖,GU,⠛⠥
𒄗,GU CROSSING GU,⠛⠥⠯⠛⠥
𒄘,GU2,⠛⠥
𒄙,GU2 TIMES KAK,⠛⠥⠡⠅⠁⠅
𒄚,GU2 TIMES KAK TIMES IGI GUNU,⠛⠥⠡⠅⠁⠅⠡⠊⠛⠊ ⠛⠥⠝⠥
𒄛,GU2 TIMES NUN,⠛⠥⠡⠝⠥⠝
𒄜,GU2 TIMES SAL PLUS TUG2,⠛⠥⠡⠎⠁⠇⠬⠞⠥⠛
𒄝,GU2 GUNU,⠛⠥ ⠛⠥⠝⠥
𒄞,GUD,⠛⠥⠙
𒄟,GUD TIMES A PLUS KUR,⠛⠥⠙⠡⠁⠬⠅⠥⠗
𒄠,GUD TIMES KUR,⠛⠥⠙⠡⠅⠥⠗
𒄡,GUD OVER GUD LUGAL,⠛⠥⠙⠌⠛⠥⠙ ⠇⠥⠛⠁⠇
𒄢,GUL,⠛⠥⠇
𒄣,GUM,⠛⠥⠍
𒄤,GUM TIMES SHE,⠛⠥⠍⠡⠩⠑
𒄥,GUR,⠛⠥⠗
𒄦,GUR7,⠛⠥⠗⠶
𒄧,GURUN,⠛⠥⠗⠥⠝
𒄨,GURUSH,⠛⠥⠗⠥⠩
𒄩,HA,⠓⠁
𒄪,HA TENU,⠓⠁ ⠞⠑⠝⠥
𒄫,HA GUNU,⠓⠁ ⠛⠥⠝⠥
𒄬,HAL,⠓⠁⠇
𒄭,HI,⠓⠊
𒄮,HI TIMES ASH,⠓⠊⠡⠁⠩
𒄯,HI TIMES ASH2,⠓⠊⠡⠁⠩
𒄰,HI TIMES BAD,⠓⠊⠡⠃⠁⠙
𒄱,HI TIMES DISH,⠓⠊⠡⠙⠊⠩
𒄲,HI TIMES GAD,⠓⠊⠡⠛⠁⠙
𒄳,HI TIMES KIN,⠓⠊⠡⠅⠊⠝
𒄴,HI TIMES NUN,⠓⠊⠡⠝⠥⠝
𒄵,HI TIMES SHE,⠓⠊⠡⠩⠑
𒄶,HI TIMES U,⠓⠊⠡⠥
𒄷,HU,⠓⠥
𒄸,HUB2,⠓⠥⠃
𒄹,HUB2 TIMES AN,⠓⠥⠃⠡⠁⠝
𒄺,HUB2 TIMES HAL,⠓⠥⠃⠡⠓⠁⠇
𒄻,HUB2 TIMES KASKAL,⠓⠥⠃⠡⠅⠁⠎⠅⠁⠇
𒄼,HUB2 TIMES LISH,⠓⠥⠃⠡⠇⠊⠩
𒄽,HUB2 TIMES UD,⠓⠥⠃⠡⠥⠙
𒄾,HUL2,⠓⠥⠇
𒄿,I,⠊
𒅀,I A,⠊ ⠁
𒅁,IB,⠊⠃
𒅂,IDIM,⠊⠙⠊⠍
𒅃,IDIM OVER IDIM BUR,⠊⠙⠊⠍⠌⠊⠙⠊⠍ ⠃⠥⠗
𒅄,IDIM OVER IDIM SQUARED,⠊⠙⠊⠍⠌⠊⠙⠊⠍⠘⠸
𒅅,IG,⠊⠛
𒅆,IGI,⠊⠛⠊
𒅇,IGI DIB,⠊⠛⠊ ⠙⠊⠃
𒅈,IGI RI,⠊⠛⠊ ⠗⠊
𒅉,IGI OVER IGI SHIR OVER SHIR UD OVER UD,⠊⠛⠊⠌⠊⠛⠊ ⠩⠊⠗⠌⠩⠊⠗ ⠥⠙⠌⠥⠙
𒅊,IGI GUNU,⠊⠛⠊ ⠛⠥⠝⠥
𒅋,IL,⠊⠇
𒅌,IL TIMES GAN2 TENU,⠊⠇⠡⠛⠁⠝ ⠞⠑⠝⠥
𒅍,IL2,⠊⠇
𒅎,IM,⠊⠍
𒅏,IM TIMES TAK4,⠊⠍⠡⠞⠁⠅⠲
𒅐,IM CROSSING IM,⠊⠍⠯⠊⠍
𒅑,IM OPPOSING IM,⠊⠍⠫⠊⠍
𒅒,IM SQUARED,⠊⠍⠘⠸
𒅓,IMIN,⠊⠍⠊⠝
𒅔,IN,⠊⠝
𒅕,IR,⠊⠗
𒅖,ISH,⠊⠩
𒅗,KA,⠅⠁
𒅘,KA TIMES A,⠅⠁⠡⠁
𒅙,KA TIMES AD,⠅⠁⠡⠁⠙
𒅚,KA TIMES AD PLUS KU3,⠅⠁⠡⠁⠙⠬⠅⠥⠒
𒅛,KA TIMES ASH2,⠅⠁⠡⠁⠩
𒅜,KA TIMES BAD,⠅⠁⠡⠃⠁⠙
𒅝,KA TIMES BALAG,⠅⠁⠡⠃⠁⠇⠁⠛
𒅞,KA TIMES BAR,⠅⠁⠡⠃⠜
𒅟,KA TIMES BI,⠅⠁⠡⠃⠊
𒅠,KA TIMES ERIN2,⠅⠁⠡⠑⠗⠊⠝
𒅡,KA TIMES ESH2,⠅⠁⠡⠑⠩
𒅢,KA TIMES GA,⠅⠁⠡⠛⠁
𒅣,KA TIMES GAL,⠅⠁⠡⠛⠁⠇
𒅤,KA TIMES GAN2 TENU,⠅⠁⠡⠛⠁⠝ ⠞⠑⠝⠥
𒅥,KA TIMES GAR,⠅⠁⠡⠛⠜
𒅦,KA TIMES GAR PLUS SHA3 PLUS A,⠅⠁⠡⠛⠜⠬⠩⠁⠒⠬⠁
𒅧,KA TIMES GI,⠅⠁⠡⠛⠊
𒅨,KA TIMES GIR2,⠅⠁⠡⠛⠊⠗
𒅩,KA TIMES GISH PLUS SAR,⠅⠁⠡⠛⠊⠩⠬⠎⠜
𒅪,KA TIMES GISH CROSSING GISH,⠅⠁⠡⠛⠊⠩⠯⠛⠊⠩
𒅫,KA TIMES GU,⠅⠁⠡⠛⠥
𒅬,KA TIMES GUR7,⠅⠁⠡⠛⠥⠗⠶
𒅭,KA TIMES IGI,⠅⠁⠡⠊⠛⠊
𒅮,KA TIMES IM,⠅⠁⠡⠊⠍
𒅯,KA TIMES KAK,⠅⠁⠡⠅⠁⠅
𒅰,KA TIMES KI,⠅⠁⠡⠅⠊
𒅱,KA TIMES KID,⠅⠁⠡⠅⠊⠙
𒅲,KA TIMES LI,⠅⠁⠡⠇⠊
𒅳,KA TIMES LU,⠅⠁⠡⠇⠥
𒅴,KA TIMES ME,⠅⠁⠡⠍⠑
𒅵,KA TIMES ME PLUS DU,⠅⠁⠡⠍⠑⠬⠙⠥
𒅶,KA TIMES ME PLUS GI,⠅⠁⠡⠍⠑⠬⠛⠊
𒅷,KA TIMES ME PLUS TE,⠅⠁⠡⠍⠑⠬⠞⠑
𒅸,KA TIMES MI,⠅⠁⠡⠍⠊
𒅹,KA TIMES MI PLUS NUNUZ,⠅⠁⠡⠍⠊⠬⠝⠥⠝⠥
𒅺,KA TIMES NE,⠅⠁⠡⠝⠑
𒅻,KA TIMES NUN,⠅⠁⠡⠝⠥⠝
𒅼,KA TIMES PI,⠅⠁⠡⠏⠊
𒅽,KA TIMES RU,⠅⠁⠡⠗⠥
𒅾,KA TIMES SA,⠅⠁⠡⠎⠁
𒅿,KA TIMES SAR,⠅⠁⠡⠎⠜
